Metric,Standard 50%,Cost-Sensitive
Threshold,0.5000000000000001,0.15000000000000002
Accuracy,0.8154513599199066,0.6586017019856499
Precision,0.6381909547738693,0.3662704309063893
Recall,0.38310708898944196,0.7435897435897436
F1 Score,0.47879359095193214,0.49079143852663015
False Positives,288.0,1706.0
False Negatives,818.0,340.0
Illustrative Cost,4378.0,3406.0
